Timestamp(ms),GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ
1023,0.01,-0.00,0.01,0.35,0.09,9.98
1028,0.01,0.00,0.00,0.35,0.11,10.00
1033,0.01,0.00,0.00,0.37,0.09,9.98
1038,0.01,0.00,0.00,0.32,0.09,9.97
1043,0.01,0.00,0.00,0.34,0.09,9.98
1048,0.01,0.00,0.00,0.34,0.04,9.91
1053,0.02,0.01,0.00,0.23,-0.09,9.76
1058,0.00,0.01,-0.00,0.13,0.13,10.37
1063,0.04,0.01,-0.00,0.24,0.03,9.58
1069,-0.00,0.01,-0.00,0.24,0.04,10.20
1074,0.04,0.00,-0.00,0.26,-0.01,9.86
1079,-0.00,0.00,0.00,0.33,0.15,9.99
1084,0.03,0.01,0.00,0.38,0.10,10.01
1089,0.01,-0.00,0.01,0.32,0.07,9.99
1094,0.02,-0.00,0.01,0.31,0.23,9.87
1099,0.01,0.00,0.01,0.24,0.10,10.24
1104,0.02,-0.01,0.01,0.21,0.10,9.74
1109,0.01,-0.00,0.01,0.13,0.05,10.13
1114,0.02,-0.00,0.01,0.16,-0.06,9.80
1119,0.01,-0.00,0.01,0.10,0.04,10.06
1124,0.02,0.00,0.01,0.13,0.00,9.81
1129,0.02,0.00,0.00,0.07,0.06,10.11
1134,0.02,0.00,0.00,0.14,0.05,9.81
1139,0.02,0.01,-0.00,0.20,0.11,10.13
1144,0.02,0.00,-0.00,0.26,0.11,9.90
1149,0.02,0.01,-0.00,0.29,0.13,10.10
1154,0.02,0.01,-0.00,0.30,0.16,9.94
1159,0.02,0.01,-0.00,0.30,0.21,10.11
1164,0.01,0.01,0.00,0.29,0.23,10.00
1169,0.01,0.00,0.00,0.26,0.20,10.05
1174,0.01,0.00,0.00,0.25,0.18,10.01
1179,0.01,0.00,0.01,0.22,0.15,10.02
1185,0.01,0.00,0.01,0.20,0.10,9.96
1190,0.01,0.00,0.01,0.17,0.06,10.00
1195,0.01,-0.00,0.01,0.13,0.03,9.91
1200,0.01,0.00,0.01,0.13,0.02,9.97
1205,0.01,0.00,0.01,0.13,-0.01,9.93
1210,0.01,0.00,0.01,0.13,-0.00,9.91
1215,0.01,0.00,0.01,0.15,-0.03,9.94
1220,0.01,0.00,0.00,0.14,-0.02,9.92
1225,0.01,0.00,0.00,0.16,0.01,9.96
1230,0.01,0.00,0.00,0.16,0.00,9.93
1235,0.02,0.00,0.00,0.14,0.07,9.97
1240,0.01,0.00,0.00,0.19,0.06,9.98
1245,0.02,0.00,0.00,0.20,0.10,9.99
1250,0.01,0.00,0.00,0.24,0.12,10.01
1255,0.01,0.00,0.00,0.26,0.08,10.01
1260,0.01,0.00,0.00,0.27,0.14,9.98
1265,0.01,0.00,0.00,0.32,0.11,10.00
1270,0.01,-0.00,0.00,0.31,0.09,9.97
1275,0.01,-0.00,0.01,0.32,0.11,9.99
1280,0.01,0.00,0.01,0.34,0.07,9.95
1285,0.01,0.00,0.01,0.30,0.07,9.97
1290,0.01,0.00,0.01,0.32,0.05,9.96
1295,0.01,0.00,0.01,0.30,0.03,9.95
1301,0.01,0.00,0.01,0.26,0.05,9.96
1306,0.01,0.00,0.01,0.27,0.03,9.96
1311,0.01,0.00,0.00,0.20,0.05,9.94
1316,0.01,0.00,0.00,0.23,0.06,9.96
1321,0.01,0.00,0.00,0.22,0.06,9.96
1326,0.01,0.00,0.00,0.18,0.09,9.97
1331,0.01,0.00,0.00,0.22,0.07,10.00
1336,0.01,0.00,0.00,0.19,0.08,9.99
1341,0.01,0.00,0.00,0.20,0.12,9.99
1346,0.01,0.00,0.00,0.20,0.10,10.01
1351,0.01,0.00,0.00,0.17,0.14,10.00
1356,0.01,0.00,0.01,0.20,0.10,9.99
1361,0.01,0.00,0.01,0.17,0.10,9.99
1366,0.01,0.00,0.01,0.15,0.09,9.95
1371,0.01,0.00,0.01,0.15,0.06,9.98
1376,0.01,0.00,0.01,0.11,0.07,9.95
1381,0.01,0.00,0.00,0.13,0.06,9.97
1386,0.01,0.00,0.00,0.14,0.04,9.96
1391,0.01,0.00,0.00,0.12,0.07,9.97
1396,0.01,0.00,0.00,0.18,0.05,9.98
1401,0.01,0.00,0.00,0.17,0.07,9.96
1406,0.01,0.00,-0.00,0.20,0.10,9.99
1411,0.01,0.00,-0.00,0.23,0.06,9.99
1417,0.01,0.00,0.00,0.22,0.11,9.97
1422,0.01,0.00,0.00,0.27,0.09,10.00
1427,0.01,0.00,0.00,0.24,0.11,9.98
1432,0.01,0.00,0.00,0.24,0.11,9.98
1437,0.01,0.00,0.00,0.27,0.07,9.98
1442,0.01,0.00,0.00,0.22,0.09,9.95
1447,0.01,0.00,0.00,0.26,0.06,9.98
1452,0.01,0.00,0.00,0.28,0.03,9.95
1457,0.01,0.00,0.00,0.26,0.06,9.95
1462,0.01,0.00,0.00,0.30,0.02,9.94
1467,0.01,0.00,0.00,0.30,0.03,9.95
1472,0.01,0.00,0.00,0.32,0.02,9.94
1477,0.01,0.00,0.00,0.32,0.00,9.94
1482,0.01,0.00,0.00,0.27,0.05,9.95
1487,0.01,0.00,0.00,0.32,0.02,9.93
1492,0.01,0.00,0.00,0.27,0.05,9.97
1497,0.01,0.00,0.00,0.28,0.06,9.94
1502,0.01,0.00,0.00,0.27,0.06,9.98
1507,0.01,0.00,0.00,0.21,0.08,9.96
